구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수,
전공선택,ARDE289,현대미술워크샵,1,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE264 문화연구,0,
전공선택,ARDE288,기초매체연구,1,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE283 입체기초조형,0,
전공선택,ARDE298,미디어와공간,2,1,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE256 영상과사진,0,
전공선택,ARDE235,종이&섬유,2,1,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE292,전통회화연구I,2,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE261 현대회화연구,0,
전공선택,ARDE290,회화STUDIO I,2,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE267 회화기법연구,0,
전공선택,ARDE259,평면재료기법,3,1,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE291,회화STUDIO II,3,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE266 회화와아이디어,0,
전공선택,ARDE378,현대창작실기 I,3,1,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE262 매체적표현,0,
전공선택,ARDE370,신소gud I,3,1,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE364 입체조형STUDIO,0,
전공선택,ARDE375,미술사 II,3,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE258 전시공간스튜디오,0,
전공선택,ARDE379,현대창작실기 II,3,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE305 수묵조형(현대적문맥),0,
전공선택,ARDE368,뉴미디어아트,3,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE377,신소형II,3,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE366 장갑조형,0,
전공선택,ARDE437,조형론,4,1,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE464,개별창작스튜디오,4,1,,,,조형미술,2,4,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE401 FORMS&SPACE,0,
전공선택,ARDE463,평면스튜디오,4,1,,,,조형미술,2,4,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE262 테라코타와조형,0,
전공선택,ARDE468,한국미술세미나,4,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,우수:ARDE401 이문화설계연구,0,
전공선택,ARDE436,한국화스튜디오 II,4,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE443,NEW FORMS,4,2,,,,조형미술,2,2,,디자인조형학부,디자인조형학부,디자인조형학부,,,0,
전공선택,ARDE459,개별작품연구,4,2,,,,조형미술,2,4,,디자인조형학부,디자인조형학부,디자인조형학부,,★졸업전필수,0,
